# mag	mag_err
1.500000000000000000e+01	5.028932392447294127e-03
1.509999999999999964e+01	5.031749596031205585e-03
1.519999999999999929e+01	5.034843829265078265e-03
1.529999999999999893e+01	5.038242871097620319e-03
1.539999999999999858e+01	5.041977390247693973e-03
1.549999999999999822e+01	5.046081265329568216e-03
1.559999999999999787e+01	5.050591943857418546e-03
1.569999999999999751e+01	5.055550845378499643e-03
1.579999999999999716e+01	5.061003814758264878e-03
1.589999999999999680e+01	5.067001632528411390e-03
1.599999999999999645e+01	5.073600590232511462e-03
1.609999999999999432e+01	5.080863139874943792e-03
1.619999999999999574e+01	5.088858627922725891e-03
1.629999999999999716e+01	5.097664125841143944e-03
1.639999999999999503e+01	5.107365370886298231e-03
1.649999999999999289e+01	5.118057832851819269e-03
1.659999999999999432e+01	5.129847924686565044e-03
1.669999999999999574e+01	5.142854377385550416e-03
1.679999999999999361e+01	5.157209802315863324e-03
1.689999999999999147e+01	5.173062467165896218e-03
1.699999999999999289e+01	5.190578314998243147e-03
1.709999999999999432e+01	5.209943259400500078e-03
1.719999999999999218e+01	5.231365792412583440e-03
1.729999999999999005e+01	5.255079945671124915e-03
1.739999999999999147e+01	5.281348648916330338e-03
1.749999999999999289e+01	5.310467533470263762e-03
1.759999999999999076e+01	5.342769231267780784e-03
1.769999999999998863e+01	5.378628222183073036e-03
1.779999999999999005e+01	5.418466283354103456e-03
1.789999999999999147e+01	5.462758593494688140e-03
1.799999999999998934e+01	5.512040542272085911e-03
1.809999999999998721e+01	5.566915289161763515e-03
1.819999999999998863e+01	5.628062107241238107e-03
1.829999999999999005e+01	5.696245534718921005e-03
1.839999999999998792e+01	5.772325340424117740e-03
1.849999999999998579e+01	5.857267289180715167e-03
1.859999999999998721e+01	5.952154669680061704e-03
1.869999999999998863e+01	6.058200522638239674e-03
1.879999999999998650e+01	6.176760483008602622e-03
1.889999999999998437e+01	6.309346130149709984e-03
1.899999999999998579e+01	6.457638728273239377e-03
1.909999999999998721e+01	6.623503240944299437e-03
1.919999999999998508e+01	6.809002522514650234e-03
1.929999999999998295e+01	7.016411629922216127e-03
1.939999999999998437e+01	7.248232262051752112e-03
1.949999999999998579e+01	7.507207419715476900e-03
1.959999999999998366e+01	7.796336482405425566e-03
1.969999999999998153e+01	8.118891009747771642e-03
1.979999999999998295e+01	8.478431684427580398e-03
1.989999999999998437e+01	8.878826906315709366e-03
1.999999999999998224e+01	9.324273612603146272e-03
2.009999999999998010e+01	9.819320927246751041e-03
2.019999999999998153e+01	1.036889723161530698e-02
2.029999999999998295e+01	1.097834119956617692e-02
2.039999999999998082e+01	1.165343726261727948e-02
2.049999999999997868e+01	1.240045587644649991e-02
2.059999999999998010e+01	1.322619886204279803e-02
2.069999999999998153e+01	1.413805000550161922e-02
2.079999999999997939e+01	1.514403102849282839e-02
2.089999999999997726e+01	1.625286299130553405e-02
2.099999999999997868e+01	1.747403316216696034e-02
2.109999999999998010e+01	1.881786737678106322e-02
2.119999999999997797e+01	2.029560791476769932e-02
2.129999999999997584e+01	2.191949692784848566e-02
2.139999999999997726e+01	2.370286546095848670e-02
2.149999999999997868e+01	2.566022810531828208e-02
2.159999999999997655e+01	2.780738330610771358e-02
2.169999999999997442e+01	3.016151931195840824e-02
2.179999999999997584e+01	3.274132569507352125e-02
2.189999999999997726e+01	3.556711028603411207e-02
2.199999999999997513e+01	3.866092125330018725e-02
2.209999999999997300e+01	4.204667391127904497e-02
2.219999999999997442e+01	4.575028165992614526e-02
2.229999999999997584e+01	4.979979024053670517e-02
2.239999999999997371e+01	5.422551423424660372e-02
2.249999999999997158e+01	5.906017442965143249e-02
2.259999999999997300e+01	6.433903434242396746e-02
2.269999999999997442e+01	7.010003378241914940e-02
2.279999999999997229e+01	7.638391693356895440e-02
2.289999999999997016e+01	8.323435194207227938e-02
2.299999999999997158e+01	9.069803850492885733e-02
2.309999999999997300e+01	9.882479942325363143e-02
2.319999999999997087e+01	1.076676515468283912e-01
2.329999999999996874e+01	1.172828510069051783e-01
2.339999999999997016e+01	1.277299071380857132e-01
2.349999999999997158e+01	1.390715590581478034e-01
2.359999999999996945e+01	1.513737085445135966e-01
2.369999999999996732e+01	1.647053026614055116e-01
