# mag	mag_err
1.500000000000000000e+01	5.022068674825010300e-03
1.509999999999999964e+01	5.024208206728725777e-03
1.519999999999999929e+01	5.026556271882154543e-03
1.529999999999999893e+01	5.029133417100135547e-03
1.539999999999999858e+01	5.031962257442765957e-03
1.549999999999999822e+01	5.035067692842231345e-03
1.559999999999999787e+01	5.038477148979017897e-03
1.569999999999999751e+01	5.042220845388586427e-03
1.579999999999999716e+01	5.046332094186657333e-03
1.589999999999999680e+01	5.050847633265810252e-03
1.599999999999999645e+01	5.055807998351191483e-03
1.609999999999999432e+01	5.061257938914651318e-03
1.619999999999999574e+01	5.067246883648682081e-03
1.629999999999999716e+01	5.073829462004205045e-03
1.639999999999999503e+01	5.081066089215565025e-03
1.649999999999999289e+01	5.089023623283417744e-03
1.659999999999999432e+01	5.097776103581476773e-03
1.669999999999999574e+01	5.107405582106924920e-03
1.679999999999999361e+01	5.118003059931789875e-03
1.689999999999999147e+01	5.129669543138218324e-03
1.699999999999999289e+01	5.142517234461607342e-03
1.709999999999999432e+01	5.156670879021833104e-03
1.719999999999999218e+01	5.172269284909561393e-03
1.729999999999999005e+01	5.189467042003528818e-03
1.739999999999999147e+01	5.208436465221252462e-03
1.749999999999999289e+01	5.229369791413604127e-03
1.759999999999999076e+01	5.252481662265736859e-03
1.769999999999998863e+01	5.278011928781580278e-03
1.779999999999999005e+01	5.306228816108574456e-03
1.789999999999999147e+01	5.337432490454197681e-03
1.799999999999998934e+01	5.371959072468948312e-03
1.809999999999998721e+01	5.410185143483179845e-03
1.819999999999998863e+01	5.452532792093184831e-03
1.829999999999999005e+01	5.499475248454113382e-03
1.839999999999998792e+01	5.551543151882802271e-03
1.849999999999998579e+01	5.609331493600974716e-03
1.859999999999998721e+01	5.673507270313369287e-03
1.869999999999998863e+01	5.744817875525605293e-03
1.879999999999998650e+01	5.824100243976339589e-03
1.889999999999998437e+01	5.912290750447452177e-03
1.899999999999998579e+01	6.010435848089424812e-03
1.909999999999998721e+01	6.119703414332852524e-03
1.919999999999998508e+01	6.241394756115284902e-03
1.929999999999998295e+01	6.376957212854143103e-03
1.939999999999998437e+01	6.527997288211281890e-03
1.949999999999998579e+01	6.696294243466638547e-03
1.959999999999998366e+01	6.883814099462434201e-03
1.969999999999998153e+01	7.092724023238840443e-03
1.979999999999998295e+01	7.325407121085343934e-03
1.989999999999998437e+01	7.584477721324282481e-03
1.999999999999998224e+01	7.872797304881896593e-03
2.009999999999998010e+01	8.193491324292246497e-03
2.019999999999998153e+01	8.549967234741918942e-03
2.029999999999998295e+01	8.945934135481645871e-03
2.039999999999998082e+01	9.385424477894038428e-03
2.049999999999997868e+01	9.872818330962531905e-03
2.059999999999998010e+01	1.041287070209735537e-02
2.069999999999998153e+01	1.101074239136733482e-02
2.079999999999997939e+01	1.167203481410756909e-02
2.089999999999997726e+01	1.240282916760077417e-02
2.099999999999997868e+01	1.320973025061854267e-02
2.109999999999998010e+01	1.409991517862137743e-02
2.119999999999997797e+01	1.508118717934675730e-02
2.129999999999997584e+01	1.616203460789373755e-02
2.139999999999997726e+01	1.735169528883680548e-02
2.149999999999997868e+01	1.866022627424914621e-02
2.159999999999997655e+01	2.009857909749740087e-02
2.169999999999997442e+01	2.167868059861521174e-02
2.179999999999997584e+01	2.341351939259114431e-02
2.189999999999997726e+01	2.531723804163550293e-02
2.199999999999997513e+01	2.740523097126743718e-02
2.209999999999997300e+01	2.969424813329259866e-02
2.219999999999997442e+01	3.220250436229071117e-02
2.229999999999997584e+01	3.494979429243003088e-02
2.239999999999997371e+01	3.795761259488270034e-02
2.249999999999997158e+01	4.124927915964068936e-02
2.259999999999997300e+01	4.485006867607336384e-02
2.269999999999997442e+01	4.878734386115654575e-02
2.279999999999997229e+01	5.309069134015867442e-02
2.289999999999997016e+01	5.779205889927961637e-02
2.299999999999997158e+01	6.292589250142434365e-02
2.309999999999997300e+01	6.852927108408646273e-02
2.319999999999997087e+01	7.464203674265951216e-02
2.329999999999996874e+01	8.130691744581780567e-02
2.339999999999997016e+01	8.856963893688471479e-02
2.349999999999997158e+01	9.647902195461244279e-02
2.359999999999996945e+01	1.050870603708783796e-01
2.369999999999996732e+01	1.144489753086595507e-01
2.379999999999996874e+01	1.246232397940544440e-01
2.389999999999997016e+01	1.356715680400651380e-01
2.399999999999996803e+01	1.476588630927552770e-01
2.409999999999996589e+01	1.606531163341105295e-01
2.419999999999996732e+01	1.747252522779821904e-01
