# mag	mag_err
1.500000000000000000e+01	5.066321414960469130e-03
1.509999999999999964e+01	5.072715904954780593e-03
1.519999999999999929e+01	5.079726644168148196e-03
1.529999999999999893e+01	5.087412972283992391e-03
1.539999999999999858e+01	5.095839934346283948e-03
1.549999999999999822e+01	5.105078827852678643e-03
1.559999999999999787e+01	5.115207802067574770e-03
1.569999999999999751e+01	5.126312514504987282e-03
1.579999999999999716e+01	5.138486849992958232e-03
1.589999999999999680e+01	5.151833708241005533e-03
1.599999999999999645e+01	5.166465866387904421e-03
1.609999999999999432e+01	5.182506923613858923e-03
1.619999999999999574e+01	5.200092335568702942e-03
1.629999999999999716e+01	5.219370547095161794e-03
1.639999999999999503e+01	5.240504232525814571e-03
1.649999999999999289e+01	5.263671653709241401e-03
1.659999999999999432e+01	5.289068146879991744e-03
1.669999999999999574e+01	5.316907750545604022e-03
1.679999999999999361e+01	5.347424987721706435e-03
1.689999999999999147e+01	5.380876817124864882e-03
1.699999999999999289e+01	5.417544769337309836e-03
1.709999999999999432e+01	5.457737285507958253e-03
1.719999999999999218e+01	5.501792277859424846e-03
1.729999999999999005e+01	5.550079933158038985e-03
1.739999999999999147e+01	5.603005782378747170e-03
1.749999999999999289e+01	5.661014062091468922e-03
1.759999999999999076e+01	5.724591395622033625e-03
1.769999999999998863e+01	5.794270824821557211e-03
1.779999999999999005e+01	5.870636226339080548e-03
1.789999999999999147e+01	5.954327149646887474e-03
1.799999999999998934e+01	6.046044117733951478e-03
1.809999999999998721e+01	6.146554435386599423e-03
1.819999999999998863e+01	6.256698554308805227e-03
1.829999999999999005e+01	6.377397049030961509e-03
1.839999999999998792e+01	6.509658262589555766e-03
1.849999999999998579e+01	6.654586686358309258e-03
1.859999999999998721e+01	6.813392144143330664e-03
1.869999999999998863e+01	6.987399856728135523e-03
1.879999999999998650e+01	7.178061469463522214e-03
1.889999999999998437e+01	7.386967132209792952e-03
1.899999999999998579e+01	7.615858728000835486e-03
1.909999999999998721e+01	7.866644354163438921e-03
1.919999999999998508e+01	8.141414167360987511e-03
1.929999999999998295e+01	8.442457712129215405e-03
1.939999999999998437e+01	8.772282860993803333e-03
1.949999999999998579e+01	9.133636503237282239e-03
1.959999999999998366e+01	9.529527128873546693e-03
1.969999999999998153e+01	9.963249464400825497e-03
1.979999999999998295e+01	1.043841132747038748e-02
1.989999999999998437e+01	1.095896287868629998e-02
1.999999999999998224e+01	1.152922846026278696e-02
2.009999999999998010e+01	1.215394122308240468e-02
2.019999999999998153e+01	1.283828075559122206e-02
2.029999999999998295e+01	1.358791393965310713e-02
2.039999999999998082e+01	1.440903926958127593e-02
2.049999999999997868e+01	1.530843488058104829e-02
2.059999999999998010e+01	1.629351054121143394e-02
2.069999999999998153e+01	1.737236387051148065e-02
2.079999999999997939e+01	1.855384104332767625e-02
2.089999999999997726e+01	1.984760224620724101e-02
2.099999999999997868e+01	2.126419213989111032e-02
2.109999999999998010e+01	2.281511557169676671e-02
2.119999999999997797e+01	2.451291876050834539e-02
2.129999999999997584e+01	2.637127614699251443e-02
2.139999999999997726e+01	2.840508306017925852e-02
2.149999999999997868e+01	3.063055429649589115e-02
2.159999999999997655e+01	3.306532863631923141e-02
2.169999999999997442e+01	3.572857923339479991e-02
2.179999999999997584e+01	3.864112970110766127e-02
2.189999999999997726e+01	4.182557558338256126e-02
2.199999999999997513e+01	4.530641073356798249e-02
2.209999999999997300e+01	4.911015792859288465e-02
2.219999999999997442e+01	5.326550281457516356e-02
2.229999999999997584e+01	5.780343001080508192e-02
2.239999999999997371e+01	6.275735988897793161e-02
2.249999999999997158e+01	6.816328419194955801e-02
2.259999999999997300e+01	7.405989826056788572e-02
2.269999999999997442e+01	8.048872719954357213e-02
2.279999999999997229e+01	8.749424283740002417e-02
2.289999999999997016e+01	9.512396782788481997e-02
2.299999999999997158e+01	1.034285627111903999e-01
2.309999999999997300e+01	1.124618912178403096e-01
2.319999999999997087e+01	1.222810585763644126e-01
2.329999999999996874e+01	1.329464171040862230e-01
2.339999999999997016e+01	1.445215329510895763e-01
2.349999999999997158e+01	1.570731075698055812e-01
2.359999999999996945e+01	1.706708473418478145e-01
