# mag	mag_err
1.500000000000000000e+01	5.089535906844932546e-03
1.509999999999999964e+01	5.098613381103815276e-03
1.519999999999999929e+01	5.108653678105834831e-03
1.529999999999999893e+01	5.119766690142914592e-03
1.539999999999999858e+01	5.132076152574950242e-03
1.549999999999999822e+01	5.145721571241773304e-03
1.559999999999999787e+01	5.160860435304887375e-03
1.569999999999999751e+01	5.177670756848669342e-03
1.579999999999999716e+01	5.196353983427816521e-03
1.589999999999999680e+01	5.217138334699845600e-03
1.599999999999999645e+01	5.240282619125695776e-03
1.609999999999999432e+01	5.266080591167746940e-03
1.619999999999999574e+01	5.294865913070818768e-03
1.629999999999999716e+01	5.327017787660709089e-03
1.639999999999999503e+01	5.362967328980876129e-03
1.649999999999999289e+01	5.403204735233608363e-03
1.659999999999999432e+01	5.448287322478310123e-03
1.669999999999999574e+01	5.498848466894985104e-03
1.679999999999999361e+01	5.555607487184104423e-03
1.689999999999999147e+01	5.619380476060547094e-03
1.699999999999999289e+01	5.691092060402842476e-03
1.709999999999999432e+01	5.771788033737299331e-03
1.719999999999999218e+01	5.862648763681986390e-03
1.729999999999999005e+01	5.965003233480404253e-03
1.739999999999999147e+01	6.080343535265477981e-03
1.749999999999999289e+01	6.210339599459532844e-03
1.759999999999999076e+01	6.356853927626869398e-03
1.769999999999998863e+01	6.521956103858526574e-03
1.779999999999999005e+01	6.707936900644036193e-03
1.789999999999999147e+01	6.917321875052179735e-03
1.799999999999998934e+01	7.152884471196505403e-03
1.809999999999998721e+01	7.417658800203917602e-03
1.819999999999998863e+01	7.714952446486423102e-03
1.829999999999999005e+01	8.048359829418063466e-03
1.839999999999998792e+01	8.421776808638032144e-03
1.849999999999998579e+01	8.839417335404015780e-03
1.859999999999998721e+01	9.305833003324012406e-03
1.869999999999998863e+01	9.825936330860339518e-03
1.879999999999998650e+01	1.040502851902518067e-02
1.889999999999998437e+01	1.104883228599780678e-02
1.899999999999998579e+01	1.176353020946456149e-02
1.909999999999998721e+01	1.255580883340330460e-02
1.919999999999998508e+01	1.343290864214661227e-02
1.929999999999998295e+01	1.440267988714254155e-02
1.939999999999998437e+01	1.547364417831396423e-02
1.949999999999998579e+01	1.665506172112967212e-02
1.959999999999998366e+01	1.795700408473869733e-02
1.969999999999998153e+01	1.939043241426638420e-02
1.979999999999998295e+01	2.096728103899679618e-02
1.989999999999998437e+01	2.270054646579478669e-02
1.999999999999998224e+01	2.460438177395170289e-02
2.009999999999998010e+01	2.669419643613207480e-02
2.019999999999998153e+01	2.898676157491212116e-02
2.029999999999998295e+01	3.150032062189997428e-02
2.039999999999998082e+01	3.425470527398697534e-02
2.049999999999997868e+01	3.727145653697655492e-02
2.059999999999998010e+01	4.057395050881364151e-02
2.069999999999998153e+01	4.418752838110240333e-02
2.079999999999997939e+01	4.813962992656257295e-02
2.089999999999997726e+01	5.245992948951215540e-02
2.099999999999997868e+01	5.718047320451037641e-02
2.109999999999998010e+01	6.233581583344700860e-02
2.119999999999997797e+01	6.796315523299252537e-02
2.129999999999997584e+01	7.410246204307235907e-02
2.139999999999997726e+01	8.079660172546143659e-02
2.149999999999997868e+01	8.809144558482648324e-02
2.159999999999997655e+01	9.603596688101892487e-02
2.169999999999997442e+01	1.046823176036556224e-01
2.179999999999997584e+01	1.140858809454785155e-01
2.189999999999997726e+01	1.243052940026965619e-01
2.199999999999997513e+01	1.354024347777525450e-01
2.209999999999997300e+01	1.474423671984990691e-01
2.219999999999997442e+01	1.604932376397293914e-01
