# mag	mag_err
1.500000000000000000e+01	5.041976740658721083e-03
1.509999999999999964e+01	5.046109916970494338e-03
1.519999999999999929e+01	5.050658599336503574e-03
1.529999999999999893e+01	5.055666215205621011e-03
1.539999999999999858e+01	5.061181040937249784e-03
1.549999999999999822e+01	5.067256797450078211e-03
1.559999999999999787e+01	5.073953327419894119e-03
1.569999999999999751e+01	5.081337366199855168e-03
1.579999999999999716e+01	5.089483420500240211e-03
1.589999999999999680e+01	5.098474770997530117e-03
1.599999999999999645e+01	5.108404617459706178e-03
1.609999999999999432e+01	5.119377387709254934e-03
1.619999999999999574e+01	5.131510234807221994e-03
1.629999999999999716e+01	5.144934750245167519e-03
1.639999999999999503e+01	5.159798924671761197e-03
1.649999999999999289e+01	5.176269391733055551e-03
1.659999999999999432e+01	5.194533994920631434e-03
1.669999999999999574e+01	5.214804721810660688e-03
1.679999999999999361e+01	5.237321054602467156e-03
1.689999999999999147e+01	5.262353790224542915e-03
1.699999999999999289e+01	5.290209387192169530e-03
1.709999999999999432e+01	5.321234899496567715e-03
1.719999999999999218e+01	5.355823559602223942e-03
1.729999999999999005e+01	5.394421072533090583e-03
1.739999999999999147e+01	5.437532680333492796e-03
1.749999999999999289e+01	5.485731050105110800e-03
1.759999999999999076e+01	5.539665028529268398e-03
1.769999999999998863e+01	5.600069290509879227e-03
1.779999999999999005e+01	5.667774888753741164e-03
1.789999999999999147e+01	5.743720684579642875e-03
1.799999999999998934e+01	5.828965608489864586e-03
1.809999999999998721e+01	5.924701663501160363e-03
1.819999999999998863e+01	6.032267547571851588e-03
1.829999999999999005e+01	6.153162737808811657e-03
1.839999999999998792e+01	6.289061854065689135e-03
1.849999999999998579e+01	6.441829109838784380e-03
1.859999999999998721e+01	6.613532671260872499e-03
1.869999999999998863e+01	6.806458787015535680e-03
1.879999999999998650e+01	7.023125627374837698e-03
1.889999999999998437e+01	7.266296879455489549e-03
1.899999999999998579e+01	7.538995282869203479e-03
1.909999999999998721e+01	7.844516443790675378e-03
1.919999999999998508e+01	8.186443419291757409e-03
1.929999999999998295e+01	8.568662697819227209e-03
1.939999999999998437e+01	8.995382296715551118e-03
1.949999999999998579e+01	9.471152739202614093e-03
1.959999999999998366e+01	1.000089165494906854e-02
1.969999999999998153e+01	1.058991267376523104e-02
1.979999999999998295e+01	1.124395916386500271e-02
1.989999999999998437e+01	1.196924322363130191e-02
1.999999999999998224e+01	1.277249019008950756e-02
2.009999999999998010e+01	1.366098879730848377e-02
2.019999999999998153e+01	1.464264701716535069e-02
2.029999999999998295e+01	1.572605354962237911e-02
2.039999999999998082e+01	1.692054489930643404e-02
2.049999999999997868e+01	1.823627797373593429e-02
2.059999999999998010e+01	1.968430815666548719e-02
2.069999999999998153e+01	2.127667283722127489e-02
2.079999999999997939e+01	2.302648040163418272e-02
2.089999999999997726e+01	2.494800471078024995e-02
2.099999999999997868e+01	2.705678508647562514e-02
2.109999999999998010e+01	2.936973180734615482e-02
2.119999999999997797e+01	3.190523706729501974e-02
2.129999999999997584e+01	3.468329127319073890e-02
2.139999999999997726e+01	3.772560445104596732e-02
2.149999999999997868e+01	4.105573238947579640e-02
2.159999999999997655e+01	4.469920697344023641e-02
2.169999999999997442e+01	4.868366994802337394e-02
2.179999999999997584e+01	5.303900909905508165e-02
2.189999999999997726e+01	5.779749554283724472e-02
2.199999999999997513e+01	6.299392047955734708e-02
2.209999999999997300e+01	6.866572938363163514e-02
2.219999999999997442e+01	7.485315117998417311e-02
2.229999999999997584e+01	8.159931949091259185e-02
2.239999999999997371e+01	8.895038253912758430e-02
2.249999999999997158e+01	9.695559776753898129e-02
2.259999999999997300e+01	1.056674066983836896e-01
2.269999999999997442e+01	1.151414850212638535e-01
2.279999999999997229e+01	1.254367623951832822e-01
2.289999999999997016e+01	1.366154060035976447e-01
2.299999999999997158e+01	1.487427615501747402e-01
2.309999999999997300e+01	1.618872451691096004e-01
